place_id,place_name,mirissa_area,address,place_type,cuisine_focus,local_food_strength,dietary_strength,price_band_lkr,rating,review_count,opening_hours,phone,signature_or_recommended_dishes,best_for,source_type,source_url,verified_date,confidence
MIR-P001,Ceylon Curry House,Mirissa,"Mirissa, Southern Province",Restaurant,Sri Lankan / Asian,Very High,Vegetarian options likely,Budget,4.8,1078,Current listing; verify day-of,Not reliably listed,Rice & curry; Sri Lankan curries,"authentic-local,budget,curry",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g1407334-d15594168-Reviews-Ceylon_Curry_House-Mirissa_Southern_Province.html,2026-08-11,0.98
MIR-P002,Dhana's Curry Pot,Mirissa,"Mirissa, Southern Province",Restaurant,Sri Lankan / Asian,Very High,Strong vegetable curry selection,Budget,4.7,312,Current listing; verify day-of,Not reliably listed,Unlimited-style curry spread; multiple curries,"authentic-local,budget,vegetarian-friendly",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g1407334-d12794842-Reviews-Dhana_s_Curry_Pot-Mirissa_Southern_Province.html,2026-08-11,0.98
MIR-P003,No.1 Dewmini Roti Shop,Udupila / inland Mirissa,"Udupila, Mirissa 81740",Roti shop / guesthouse,Sri Lankan,Very High,Vegetarian options available,Budget,4.5,2904,Current listing; verify current hours,Not reliably listed,Roti; kottu; Sri Lankan breakfast/curry,"roti,kottu,cooking-experience,budget",Official site + Tripadvisor + Instagram,https://dewminirotishop.wordpress.com/,2026-08-11,0.99
MIR-P004,Sea Gem Authentic Sri Lankan Cooking,Mirissa,"Mirissa, Southern Province",Restaurant / cooking class,Sri Lankan,Very High,Vegetarian options,Budget-Mid,,,Verify current hours,Not listed,Chicken rice & curry; vegetable rice & curry; grilled barracuda,"authentic-local,cooking-class,home-style",Tripadvisor current review page,https://www.tripadvisor.com/Restaurant_Review-g1407334-d34144290-Reviews-Sea_Gem_Authentic_Sri_Lankan_Cooking-Mirissa_Southern_Province.html,2026-08-11,0.95
MIR-P005,Mum's Kitchen,Mirissa,"Mirissa, Southern Province",Restaurant,Sri Lankan,Very High,Vegetarian curry options likely,Budget,,,Verify current hours,Not listed,Sri Lankan rice & curry,"home-style,budget,local-food",Tripadvisor listing,https://www.tripadvisor.com/Restaurant_Review-g1407334-d15553518-Reviews-Mum_s_Kitchen-Mirissa_Southern_Province.html,2026-08-11,0.94
MIR-P006,Maggie's Rotti Shop,Mirissa,"Mirissa, Southern Province",Roti shop / restaurant,Sri Lankan + mixed,High,Vegetarian options,Budget,,,Verify current hours,Not listed,Roti; kottu,"roti,kottu,budget",Tripadvisor listing,https://www.tripadvisor.com/Restaurant_Review-g1407334-d7934207-Reviews-Maggie_s_Rotti_Shop-Mirissa_Southern_Province.html,2026-08-11,0.93
MIR-P007,River View Restaurant & Cafe,Mirissa,"Mirissa, Southern Province",Restaurant / cafe,Sri Lankan / seafood,High,Mixed,Budget-Mid,,,Verify current hours,Not listed,Fish curry; Sri Lankan meals,"fish-curry,local-food",Tripadvisor listing,https://www.tripadvisor.com/Restaurant_Review-g1407334-d15309539-Reviews-River_View_Restaurant_cafe-Mirissa_Southern_Province.html,2026-08-11,0.93
MIR-P008,Dilmi Rotti Shop,Mirissa,"Mirissa, Southern Province",Roti shop,Sri Lankan,High,Vegetarian options likely,Budget,,,Verify current hours,Not listed,Roti; traditional Sri Lankan coffee,"roti,coffee,budget",Tripadvisor listing,https://www.tripadvisor.com/Restaurant_Review-g1407334-d12814458-Reviews-Dilmi_rotti_shop-Mirissa_Southern_Province.html,2026-08-11,0.92
MIR-P009,Fresh Wave Restaurant and Bar,Mirissa Beach,"Beachfront, Mirissa",Beach restaurant / bar,Seafood + mixed,Medium-High,Mixed,Budget-Mid,4.6,432,Current listing; verify day-of,Not reliably listed,Fresh fish; coconut prawns; seafood BBQ,"seafood,beach-dining,sunset",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g1407334-d15833016-Reviews-Fresh_Wave_Restaurant_and_Bar-Mirissa_Southern_Province.html,2026-08-11,0.97
MIR-P010,Coco Gate,Mirissa,"Mirissa, Southern Province",Restaurant,Seafood / Asian,Medium-High,Mixed,Budget,4.7,208,Current listing; verify day-of,Not listed,Seafood dishes,"seafood,budget",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g1407334-d12381069-Reviews-Coco_Gate-Mirissa_Southern_Province.html,2026-08-11,0.95
MIR-P011,Ambrosia Mirissa,Mirissa,"Mirissa, Southern Province",Restaurant,Seafood / Sri Lankan / mixed,Medium-High,Mixed,Budget-Mid,4.5,645,Current listing; verify day-of,Not listed,Roti; seafood; local dishes,"seafood,casual",Tripadvisor listing,https://www.tripadvisor.com/Restaurant_Review-g1407334-d12330698-Reviews-Ambrosia_Mirissa-Mirissa_Southern_Province.html,2026-08-11,0.94
MIR-P012,Central Beach Inn Restaurant,Mirissa Beach,"Mirissa Beach, Mirissa",Beach restaurant,Seafood / mixed,Medium-High,Mixed,Mid,,,Verify current hours,Not listed,Fresh seafood displayed nightly; fish,"beach-dining,seafood",Tripadvisor current review page,https://www.tripadvisor.com/Restaurant_Review-g1407334-d3438660-Reviews-Central_Beach_Inn-Mirissa_Southern_Province.html,2026-08-11,0.94
MIR-P013,Salt Mirissa,Mirissa Bay,"Beachfront, Mirissa",Restaurant / bar,Seafood + international,Medium,Mixed,Mid-Premium,3.7,466,Approx. 09:00-23:00 from recent travel guide,+94 78 577 9779,Seafood; burgers; tacos,"beachfront,groups,nightlife",Instagram/Facebook + Tripadvisor,https://www.instagram.com/saltmirissa/?hl=en,2026-08-11,0.95
