place_id,place_name,city,area,address,place_type,cuisine_focus,local_food_strength,dietary_strength,price_band_lkr,rating,review_count,opening_hours,phone,signature_or_recommended_dishes,best_for,source_type,source_url,verified_date,confidence
DAM-P001,Athula Restaurant,Dambulla,Dambulla Town,"Dambulla, Sri Lanka",Local restaurant,Sri Lankan; homemade local cuisine,Very High,Vegetarian choices likely within curry buffet; exact dietary certification not verified,Budget,,,Daily 08:00-16:30 and 18:00-21:00,+94 72 583 8742,Rice and curry; mixed local curries; homemade Sri Lankan meals,Authentic local food; budget meals; rice and curry,Current business/review listing,https://wanderlog.com/place/details/1163467/athula-restaurant,2026-08-14,0.9
DAM-P002,Sakura Cooking Classes and Restaurant,Dambulla,Palwehera,"No. 420/A, Palwehera, Dambulla, Sri Lanka",Family restaurant / cooking-class venue,"Sri Lankan, Asian",Very High,Vegetarian friendly; vegan options; gluten-free options,Budget-Medium,4.6,603,Daily 11:30-20:00,+94 77 520 2995,Traditional Sri Lankan rice and curry buffet; vegetable curries; curd/yogurt desserts,Authentic Sri Lankan buffet; vegetarians; cooking experience; families,Tripadvisor + current business listing,https://www.tripadvisor.com/Restaurant_Review-g304133-d7059915-Reviews-Sakura_Cooking_Classes_and_Restaurant-Dambulla_Central_Province.html,2026-08-14,0.99
DAM-P003,Benthota Bake House - Dambulla,Dambulla,Anuradhapura Road,"VMG2+MCQ, Dambulla, Sri Lanka",Bakery / casual restaurant,"Sri Lankan, bakery, short eats, mixed cuisine",High,Vegetarian items available; exact dietary support not sufficiently verified,Budget,4.1,935,Not sufficiently verified,+94 76 531 6151,Chicken kottu; hoppers with curry and coconut sambol; rice and curry; short eats; baked goods,Breakfast; quick meals; local snacks; budget dining; takeaway,Current business/review listing,https://wanderlog.com/place/details/6631727/benthota-bake-house-dambulla,2026-08-14,0.96
DAM-P004,Hotel Golden Rainbow Restaurant,Dambulla,Dambulla,"Dambulla, Sri Lanka",Hotel restaurant,Sri Lankan / mixed cuisine,Medium,Not sufficiently verified,Medium,,,Not sufficiently verified,,Not sufficiently verified,Family meals; hotel dining,Original dataset; current web details not sufficiently verified,,2026-08-14,0.55
DAM-P005,Mango Mango Restaurant,Dambulla,Anuradhapura Road,"641 Anuradhapura Road, Dambulla 21100, Sri Lanka",Restaurant (reported permanently closed),"Asian, Sri Lankan",High,Vegetarian friendly; vegan options,Medium,3.2,463,Permanently closed (current listing),+94 66 228 5410,Sri Lankan curries; Asian dishes; string-hopper kottu reported,Historical record only; do not recommend while closed,Tripadvisor + current business listing,https://www.tripadvisor.com/Restaurant_Review-g304133-d8373911-Reviews-Mango_Mango_Restaurant-Dambulla_Central_Province.html,2026-08-14,0.99
DAM-P006,Samara Restaurant at Amaya Lake,Dambulla,Kandalama,"Amaya Lake, Kap Ela, Kandalama, Dambulla, Sri Lanka",Resort main restaurant,Sri Lankan and international; buffet,High,Dietary options should be confirmed with resort,Premium,,,All-day / buffet service (exact meal times not specified on official dining page),+94 66 446 1500,Locally inspired Sri Lankan dishes; fresh lake fish; local ingredients; buffet,Families; buffet lovers; resort dining; locally inspired cuisine,Official Amaya Lake website,https://www.amayaresorts.com/amayalake/dining/,2026-08-14,0.99
DAM-P007,Kanchana Restaurant - Heritance Kandalama,Dambulla,Kandalama,"Heritance Kandalama, PO Box 11, Dambulla, Sri Lanka",Hotel main restaurant,Sri Lankan and international; buffet / a la carte,High,Halal; kosher; vegetarian; vegan; gluten-free; dairy-free reported by current hotel listing,Premium,,,Breakfast 06:30-10:00; Lunch 12:30-15:00; Dinner 19:00-22:00,+94 66 555 5000,Traditional Sri Lankan cuisine; international buffet; barbecue,Fine dining; families; scenic resort dining; varied dietary needs,Official Heritance website + current hotel listing,https://www.heritancehotels.com/kandalama/dining/kanchana-restaurant/,2026-08-14,0.99
DAM-P008,Kaludiya Restaurant - Heritance Kandalama,Dambulla,Kandalama,"Heritance Kandalama, PO Box 11, Dambulla, Sri Lanka",Hotel a la carte restaurant,Sri Lankan and international a la carte,High,Halal; kosher; vegetarian; vegan; gluten-free; dairy-free reported by current hotel listing,Premium,,,Daily 19:00-22:00,+94 66 555 5000,Sri Lankan and international a la carte dishes,Dinner; couples; fine dining; dietary flexibility,Official Heritance website + hotel fact sheet,https://www.heritancehotels.com/kandalama/dining/exclusive-dining-options/,2026-08-14,0.99
DAM-P009,Benthota Village Restaurant,Dambulla,Dambulla,"Dambulla, Sri Lanka",Local / village-style restaurant,Sri Lankan village food,Very High,Not sufficiently verified,Budget,,,Not sufficiently verified,,Traditional meals; village-style rice and curry (from original dataset),Traditional Sri Lankan meals; village-food experience,Original dataset; current web details not sufficiently verified,,2026-08-14,0.55
DAM-P010,Garden Restaurant,Dambulla,Dambulla,"Dambulla, Sri Lanka",Restaurant,Sri Lankan,High,Vegetarian options reported in original dataset; current details not sufficiently verified,Budget,,,Not sufficiently verified,,Sri Lankan curries (from original dataset),Vegetarian options; budget Sri Lankan food,Original dataset; current web details not sufficiently verified,,2026-08-14,0.55
