food_id,food_name,alternate_names,city,category,meal_type,typical_spice_level,vegetarian_possible,vegan_possible,key_components,description,city_relevance,recommendation_tags,source_type,source_url,verified_date,confidence
YAL-F001,Rice & Curry,,Yala,Main,Lunch/Dinner,Medium,,,,Traditional Sri Lankan meal,,,,,,
YAL-F002,Kottu Roti,,Yala,Street Food,Dinner,Medium,,,,Popular evening meal,,,,,,
YAL-F003,Hoppers,,Yala,Breakfast,Breakfast,Mild,,,,Traditional hopper,,,,,,
YAL-F004,String Hoppers,,Yala,Breakfast,Breakfast,Mild,,,,Rice noodle nests,,,,,,
YAL-F005,Fish Curry,,Yala,Seafood,Lunch/Dinner,High,,,,Fresh coastal fish,,,,,,
YAL-F006,Prawn Curry,,Yala,Seafood,Lunch/Dinner,High,,,,Local prawns,,,,,,
YAL-F007,Crab Curry,,Yala,Seafood,Lunch/Dinner,High,,,,Lagoon crab,,,,,,
YAL-F008,Pol Roti,,Yala,Bread,Breakfast,Mild,,,,Coconut flatbread,,,,,,
YAL-F009,Dhal Curry,,Yala,Curry,Any,Mild,,,,Lentil curry,,,,,,
YAL-F010,Curd & Treacle,,Yala,Dessert,Dessert,Sweet,,,,Traditional dessert,,,,,,
YAL-F011,King Coconut,,Yala,Drink,Any,,,,,Fresh coconut water,,,,,,
YAL-F012,BBQ Seafood,,Yala,Seafood,Dinner,Medium,,,,Beach BBQ,,,,,,
