food_id,food_name,alternate_names,category,meal_type,typical_spice_level,vegetarian_possible,vegan_possible,key_components,ella_relevance,recommendation_tags,source_type,source_url,verified_date,confidence
ELA-F001,Rice and Curry,Bath saha curry,Main meal,"Lunch,Dinner",Varies,Yes,Yes,"Rice with several vegetable curries, sambols and optional meat/fish",Very common in local/home-style Ella restaurants,"authentic,local-daily-food,budget",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.99
ELA-F002,Kottu Roti,Koththu / Kottu,Street food / main,Dinner,Medium-High,Yes,Yes,Chopped godhamba roti with vegetables and optional egg/meat,Common on Ella restaurant menus,"street-food,late-night,local-icon",Official tourism,https://www.srilanka.travel/culinary-tourism/food-range.php,2026-08-11,0.98
ELA-F003,Hoppers,Appa,Breakfast / dinner,"Breakfast,Dinner",Mild,Yes,Yes,Fermented rice-flour and coconut-milk bowl-shaped pancake,Common Sri Lankan option for travellers,"breakfast,traditional,light",Official tourism,https://www.srilanka.travel/culinary-tourism/food-range.php,2026-08-11,0.98
ELA-F004,String Hoppers,Indi Appa / Idiyappam,Breakfast / dinner,"Breakfast,Dinner",Mild,Yes,Yes,Steamed rice-flour noodle nests,Explicitly listed on Cafe Chill menu,"breakfast,traditional,low-spice",Official tourism + restaurant menu,https://www.cafechill.lk/cafe-chill-ella-menu.html,2026-08-11,0.99
ELA-F005,Coconut Roti,Pol Roti,Flatbread / main,"Breakfast,Lunch,Dinner",Mild,Yes,Yes,Flatbread made with coconut and flour,Explicitly listed on Cafe Chill menu,"traditional,coconut,budget",Restaurant menu + tourism context,https://www.cafechill.lk/cafe-chill-ella-menu.html,2026-08-11,0.98
ELA-F006,Dhal Curry,Parippu,Side / curry,Any,Mild-Medium,Yes,Yes,"Red lentil curry, often with coconut milk",Common home-style curry,"vegetarian,comfort-food",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.95
ELA-F007,Pol Sambol,Coconut sambol,Side,Any,High,Yes,Yes,"Fresh coconut, chilli, onion and lime; some versions may use Maldive fish",Common accompaniment,"spicy,coconut,side",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.95
ELA-F008,Jackfruit Curry,Polos / kos curry,Vegetable curry,"Lunch,Dinner",Medium,Yes,Yes,Young or mature jackfruit cooked with Sri Lankan spices,Specifically praised in Matey Hut public review summaries,"vegetarian,traditional,local-favorite",Review aggregation,https://www.tripadvisor.com/Restaurant_Review-g616035-d9813968-Reviews-Matey_Hut-Ella_Uva_Province.html,2026-08-11,0.91
ELA-F009,Banana Flower Curry,Kesel muwa curry,Vegetable curry,"Lunch,Dinner",Medium,Yes,Yes,Banana blossom cooked with spices and coconut,Specifically praised in Matey Hut public review summaries,"vegetarian,traditional,local-favorite",Review aggregation,https://www.tripadvisor.com/Restaurant_Review-g616035-d9813968-Reviews-Matey_Hut-Ella_Uva_Province.html,2026-08-11,0.91
ELA-F010,Pumpkin Curry,Wattakka curry,Vegetable curry,"Lunch,Dinner",Mild-Medium,Yes,Yes,Pumpkin cooked with spices and coconut milk,Common multi-curry component,"vegetarian,mild,home-style",Sri Lankan culinary context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.88
ELA-F011,Potato Curry,Ala curry,Vegetable curry,"Breakfast,Lunch,Dinner",Mild-Medium,Yes,Yes,Potatoes cooked with curry spices,Common with hoppers/string hoppers and rice,"vegetarian,mild",Sri Lankan culinary context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.88
ELA-F012,Beetroot Curry,Beet curry,Vegetable curry,"Lunch,Dinner",Mild-Medium,Yes,Yes,Beetroot cooked with spices and coconut,Common colourful rice-and-curry component,"vegetarian,home-style",Sri Lankan culinary context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.86
