place_id,place_name,city,area,address,place_type,cuisine_focus,local_food_strength,dietary_strength,price_band_lkr,rating,review_count,opening_hours,phone,signature_or_recommended_dishes,best_for,source_type,source_url,verified_date,confidence
KDY-P001,Balaji Dosai,Kandy,Kandy City Centre / D.S. Senanayake Veediya,"03 D.S. Senanayake Veediya, Kandy 20000, Sri Lanka",Vegetarian / South Indian restaurant,South Indian vegetarian,Low,Vegetarian; vegan-friendly,Budget,4.2,1938,Daily 07:30-21:30,+94 81 220 8080,Masala dosa; ghee dosa; idli; ulundu vadai; mango lassi,Vegetarian meals; South Indian food; budget dining,Official website + current listing,https://balajidosai.com/,2026-08-13,0.99
KDY-P002,Kandyan Muslim Hotel,Kandy,Dalada Veediya,"Dalada Vidiya, Kandy 20000, Sri Lanka",Traditional restaurant,"Sri Lankan, Asian, Muslim cuisine",Very High,Vegetarian friendly; vegan options; halal,Budget,3.7,952,Mon-Thu 07:00-21:00; Fri 07:00-12:00 & 13:30-21:00; Sat-Sun 07:00-12:00,+94 81 222 9129,Rice & curry; local snacks and sweets; halal meals,Budget local food; halal dining; traditional Kandy eatery,Tripadvisor/current listing,https://www.tripadvisor.com/Restaurant_Review-g304138-d2703089-Reviews-Kandyan_Muslim_Hotel-Kandy_Kandy_District_Central_Province.html,2026-08-13,0.98
KDY-P003,Kandy House Restaurant,Kandy,Gunnepana / Amunugama,"The Kandy House, Amunugama, Gunnepana, Kandy, Sri Lanka",Boutique hotel restaurant,Sri Lankan and Western / contemporary,High,Vegetarian option available; other dietary details should be confirmed with property,Premium,,,Not sufficiently verified,,Hoppers; string hoppers; coconut roti; curries; changing East-West dinner menu,Heritage dining; romantic meals; upscale Sri Lankan cuisine,Hotel/reputable travel source,https://www.thekandyhouse.com/,2026-08-13,0.9
KDY-P004,Cafe Secret Alley,Kandy,Kotugodalla Street / City Centre,"Kotugodalla Street, Kandy 20000, Sri Lanka",Cafe,"Cafe, Healthy, brunch",Low,Vegetarian friendly; vegan options; gluten-free options,Medium,4.5,422,Daily 07:00-17:00,+94 77 303 2933,Pancakes; smoothie bowls; burgers; vegan coffee; fresh juices,Breakfast; brunch; coffee; healthy food; vegan travellers,Tripadvisor/current listing,https://www.tripadvisor.com/Restaurant_Review-g304138-d12309192-Reviews-Cafe_Secret_Alley-Kandy_Kandy_District_Central_Province.html,2026-08-13,0.98
KDY-P005,WorldSpice - KCC,Kandy,Kandy City Centre,"No. 5 Sri Dalada Veediya, Kandy 20000, Sri Lanka",Food court / multi-cuisine dining,"Sri Lankan, Indian, Chinese, Thai, Italian, snacks and desserts",Medium,Varies by outlet; vegetarian choices available across food court,Medium,,,KCC operating hours / outlet-specific; exact restaurant hours not sufficiently verified,+94 71 655 5555,Rice & curry; biryani; multi-cuisine dishes; desserts,Groups with mixed preferences; central dining; variety,Official KCC dining site + current listing,https://dining.kandycitycentre.lk/,2026-08-13,0.94
KDY-P006,Vito Wood Fired Pizza,Kandy,Saranankara Road,"56 Saranankara Road, Kandy, Sri Lanka",Pizzeria,Italian-style wood-fired pizza,Low,Vegetarian pizza choices; other dietary support not sufficiently verified,Medium,,,Daily 12:00-21:30,+94 77 454 9000,Wood-fired pizza; large pizzas with split flavours,Pizza; groups; casual dining; Kandy Lake-area meal,Official website,https://vitopizza.lk/,2026-08-13,0.99
KDY-P007,KFC Kandy,Kandy,Kandy City Centre area,"Kandy, Sri Lanka",Fast-food restaurant,"Fried chicken, burgers, fast food",Low,Non-vegetarian focused; dietary details vary by menu,Budget,,,Not sufficiently verified,,Fried chicken; burgers; fries,Quick meal; familiar international fast food; takeaway,Original dataset; chain information not branch-verified,,2026-08-13,0.65
KDY-P008,The Empire Cafe,Kandy,Temple Street / Temple of the Tooth,"No. 21 Temple Street, in front of Temple of the Tooth, Kandy 20000, Sri Lanka",Cafe / restaurant,"Fusion, Healthy, Sri Lankan",High,Vegetarian friendly; vegan options,Medium,4.7,211,Daily 08:00-21:00,+94 81 223 9870,Sri Lankan rice & curry; Empire Salad; kottu roti; homemade desserts,Breakfast; local curry; Temple of the Tooth visitors; heritage atmosphere,Tripadvisor/current listing,https://www.tripadvisor.com/Restaurant_Review-g304138-d25284755-Reviews-The_Empire_Cafe-Kandy_Kandy_District_Central_Province.html,2026-08-13,0.99
KDY-P009,Devon Restaurant,Kandy,Kandy City Centre,"Kandy, Sri Lanka",Restaurant / bakery,"Sri Lankan, Asian, short eats",High,Not sufficiently verified,Budget,,,Not sufficiently verified,,Short eats; rice dishes; kottu; bakery items,Budget meals; quick local food; snacks,Original dataset + recent local community recommendations,,2026-08-13,0.72
KDY-P010,Roots 'n' Beans,Kandy,Kandy,"Kandy, Sri Lanka",Cafe / healthy-food restaurant,"Healthy meals, cafe food",Low-Medium,Healthy/plant-forward positioning; exact dietary support not sufficiently verified,Medium,,,Not sufficiently verified,,Healthy meals; coffee,Healthy meals; cafe dining,Original dataset; current details not sufficiently verified,,2026-08-13,0.62
