food_id,food_name,alternate_names,category,meal_type,typical_spice_level,vegetarian_possible,vegan_possible,key_components,bandarawela_relevance,recommendation_tags,source_type,source_url,verified_date,confidence
BAN-F001,Rice and Curry,Bath saha curry,Main meal,"Lunch,Dinner",Varies,Yes,Yes,"Rice with vegetable curries, sambols and optional meat/fish",Core everyday local food in Bandarawela,"authentic,local-daily-food,budget",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.99
BAN-F002,Hill-Country Vegetable Rice & Curry,Vegetable rice and curry,Main meal,"Lunch,Dinner",Mild-Medium,Yes,Yes,"Rice with seasonal carrots, leeks, beans, potatoes and other vegetables",Strong fit with Bandarawela's cool-climate produce,"vegetarian,hill-country,local",Cuisine context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.9
BAN-F003,Kottu Roti,Koththu,Street food / main,Dinner,Medium-High,Yes,Yes,Chopped godhamba roti with vegetables and optional egg/meat,Common evening meal,"street-food,late-night",Official tourism,https://www.srilanka.travel/culinary-tourism/food-range.php,2026-08-11,0.98
BAN-F004,Pol Roti,Coconut roti,Flatbread,"Breakfast,Lunch,Dinner",Mild,Yes,Yes,Coconut flatbread,Common local breakfast/snack,"roti,budget",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.95
BAN-F005,Hoppers,Appa,Breakfast / dinner,"Breakfast,Dinner",Mild,Yes,Yes,Fermented rice-flour and coconut-milk pancake,Common Sri Lankan breakfast,"breakfast,traditional",Official tourism,https://www.srilanka.travel/culinary-tourism/food-range.php,2026-08-11,0.98
BAN-F006,String Hoppers,Indi Appa,Breakfast / dinner,"Breakfast,Dinner",Mild,Yes,Yes,Steamed rice-flour noodle nests,Common hill-country breakfast,"breakfast,traditional",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.96
BAN-F007,Pittu,Pittu,Breakfast / main,"Breakfast,Dinner",Mild,Yes,Yes,Steamed flour and coconut mixture,Common Sri Lankan staple,"traditional,coconut",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.94
BAN-F008,Dhal Curry,Parippu,Side / curry,Any,Mild-Medium,Yes,Yes,Red lentil curry,Core accompaniment,"vegetarian,comfort-food",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.95
BAN-F009,Potato Curry,Ala curry,Vegetable curry,"Breakfast,Lunch,Dinner",Mild,Yes,Yes,Potatoes cooked with spices and coconut milk,Highly relevant to Uva highland produce,"vegetarian,hill-country",Cuisine context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.88
BAN-F010,Leek Curry,Leeks curry,Vegetable curry,"Lunch,Dinner",Mild-Medium,Yes,Yes,Leeks cooked with spices/coconut,Cool-climate vegetable association,"vegetarian,hill-country",Cuisine context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.86
BAN-F011,Carrot Curry,Carrot curry,Vegetable curry,"Lunch,Dinner",Mild,Yes,Yes,Carrots cooked with Sri Lankan spices,Cool-climate vegetable association,"vegetarian,hill-country",Cuisine context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.86
BAN-F012,Pumpkin Curry,Wattakka curry,Vegetable curry,"Lunch,Dinner",Mild,Yes,Yes,Pumpkin cooked in coconut milk and spices,Common local curry,"vegetarian,mild",Cuisine context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.88
