place_id,place_name,city,area,address,place_type,cuisine_focus,local_food_strength,dietary_strength,price_band_lkr,rating,review_count,opening_hours,phone,signature_or_recommended_dishes,best_for,source_type,source_url,verified_date,confidence
JAF-P001,Mangos Indian Vegetarian,Jaffna,Main Street,"129 Main Street, Jaffna 40000, Sri Lanka",Vegetarian / Indian restaurant,"Indian, Asian, Sri Lankan",Medium,Vegetarian; vegan options; gluten-free options,Medium / $$-$$$,4.0,1660,Daily 11:00-23:00,+94 77 766 1083,Masala dosa; paper masala dosa; chilli parotta; South Indian vegetarian dishes,Vegetarian meals; families; South Indian food,Current business listing + Tripadvisor,https://www.tripadvisor.com/Restaurant_Review-g304135-d1133627-Reviews-Mangos-Jaffna_Northern_Province.html,2026-08-14,0.99
JAF-P002,Cosy Restaurant,Jaffna,Stanley Road,"272 Stanley Road, Jaffna 40000, Sri Lanka",Hotel restaurant,"Sri Lankan, Indian, Asian",High,Vegetarian choices available; exact vegan/gluten-free support not sufficiently verified,Budget-Medium,3.7,241,Official site: Sat 08:00-21:00; Sun-Thu 08:00-20:00; Fri closed,+94 21 222 5899,Rice and curry; local cuisine; Indian dishes,Local cuisine; families; groups; budget-conscious dining,Official website + current business listing,https://cosy.lk/,2026-08-14,0.98
JAF-P003,Malayan Cafe,Jaffna,Grand Bazaar,"36-38 Grand Bazaar, Jaffna 40000, Sri Lanka",Traditional vegetarian cafe,"Indian, Asian, Sri Lankan / Tamil vegetarian",Very High,Vegetarian; vegan options,"Budget / Rs 1-1,000",4.0,1983,Mon-Fri & Sun 07:30-21:00; Sat 08:30-21:00,+94 21 222 2373,Dosa; string hoppers; vadai; idli; puttu; parotta; vegetarian curries served on banana leaf,Authentic Jaffna/Tamil food; vegetarian breakfast; budget local dining,Current business listing + Tripadvisor + community reviews,https://www.tripadvisor.com/Restaurant_Review-g304135-d1133625-Reviews-Malayan_Cafe-Jaffna_Northern_Province.html,2026-08-14,0.99
JAF-P004,Rio Ice Cream,Jaffna,Nallur / Point Pedro Road,"448A Point Pedro Road (AB20), Nallur, Jaffna 40000, Sri Lanka",Ice cream shop / dessert restaurant,"Ice cream, desserts",High,Vegetarian-friendly dessert venue; vegan support not sufficiently verified,Budget,4.3,8079,Daily 09:00-22:00,+94 21 222 7224,Special Mix sundae; local ice cream; hot-and-cold desserts,Iconic Jaffna dessert; families; after Nallur Temple visit,Official website + current business listing,https://rioicecream.com/contact/,2026-08-14,0.99
JAF-P005,Green Grass Hotel & Restaurant,Jaffna,Hospital Road,"No. 33 Aseervatham Lane, Hospital Road, Jaffna 40000, Sri Lanka",Hotel restaurant,"Sri Lankan, Jaffna-style, Indian, Asian",Very High,Vegetable specials available; exact vegan/gluten-free support not sufficiently verified,Medium,3.7,1801,Restaurant/delivery listing: daily about 07:00-22:30; official enquiry hours differ,+94 21 222 4385,"Jaffna-style fish, mutton and prawn curries; kottu; string hoppers; vegetable curries",Jaffna curries; traditional meals; groups; hotel dining,Official website + current menu/delivery listing,https://greengrass.lk/restaurant/,2026-08-14,0.97
JAF-P006,Peninsula - Jetwing Jaffna,Jaffna,Mahatma Gandhi Road,"Jetwing Jaffna, 37 Mahatma Gandhi Road, Jaffna, Sri Lanka",Hotel main restaurant,"Northern Sri Lankan, Jaffna specialties, South Indian, international",Very High,Dietary needs can be requested; exact categories not sufficiently verified,Premium,,,Breakfast 07:00-10:30; Lunch 12:00-15:00; Dinner 19:00-22:30,+94 21 221 5571,Jaffna crab curry; Odiyal Kool; seafood; thali-style curries; thosai; string hoppers; pittu,Northern cuisine; seafood; upscale dining; tourists,Official Jetwing website,https://www.jetwinghotels.com/jetwingjaffna/dining/peninsula/,2026-08-14,0.99
JAF-P007,Rolex Restaurant,Jaffna,Jaffna,"Jaffna, Sri Lanka",Local restaurant,Sri Lankan / local cuisine,High,Not sufficiently verified,Budget,,,Not sufficiently verified,,Rice and curry (from original dataset),Budget local food,Original dataset; current web details not sufficiently verified,,2026-08-14,0.55
JAF-P008,Nallur Bhavan Vegetarian Restaurant,Jaffna,Nallur / Temple Road,"250 Temple Road, Jaffna 40000, Sri Lanka",Vegetarian restaurant,"Sri Lankan, Jaffna/Tamil vegetarian, South Indian",Very High,Vegetarian; vegan options,"Budget / Rs 1-1,000",4.1,658,Daily 08:00-22:00,+94 21 222 5556,Vegetarian rice and curry; masala dosa; roti; veg biryani; pittu; Jaffna sweets,Authentic vegetarian Jaffna food; Nallur visitors; budget dining,Current business listing + Tripadvisor,https://www.tripadvisor.com/Restaurant_Review-g304135-d10374749-Reviews-Nallurbhavan-Jaffna_Northern_Province.html,2026-08-14,0.99
JAF-P009,Jaffna City Hotel Restaurant (Tilko listing),Jaffna,Jaffna-Kankesanturai Road,"70/6 Jaffna-Kankesanturai Road, Jaffna 40000, Sri Lanka",Hotel restaurant,"Asian, Chinese, Indian, Sri Lankan",High,Not sufficiently verified,"Rs 1,000-3,000",3.9,1208,Daily 07:00-23:00,+94 21 720 0707,Seafood; curried crab; rice; biryani; fish; Indian and Sri Lankan dishes,Seafood; hotel dining; groups; central Jaffna,Current business listing + Restaurant Guru,https://restaurantguru.com/Tilko-Jaffna-City-Hotel-Jaffna,2026-08-14,0.95
JAF-P010,Valampuri Hotel Restaurant,Jaffna,Station Road,"148/10 Station Road, Jaffna, Sri Lanka",Hotel restaurant,"Jaffna-style, Sri Lankan, Indian, Asian, seafood",Very High,Vegetable dishes available; exact vegan/gluten-free support not sufficiently verified,"Rs 1,000-2,000",3.8,54,Daily 07:00-22:30,+94 77 200 0206,Jaffna-style curries; biryani; kottu; dosa; seafood; Indian curries,Northern cuisine; seafood; families; hotel dining,Official hotel + current menu/listing,https://valampuri.foodorders.lk/menu/28,2026-08-14,0.99
