query_id,city,sample_user_query,expected_filters_or_intent,relevant_place_ids,expected_result_text,notes
ABY-Q001,Arugam Bay,I want the freshest local fish in Arugam Bay.,fresh-catch + seafood + authentic-local,"ABY-P004,ABY-P001,ABY-P003,ABY-P010,ABY-P011",,Mr Fisherman and The Sketch should rank highly.
ABY-Q002,Arugam Bay,I want cheap authentic rice and curry.,budget + authentic-local + rice-and-curry,"ABY-P006,ABY-P020",,The Green Room has strong rice-and-curry evidence; Cook with Mona is an experience option.
ABY-Q003,Arugam Bay,"I'm vegetarian and want local food, not only smoothie bowls.",vegetarian + local + authentic,"ABY-P007,ABY-P008,ABY-P006,ABY-P020",,"Curry Leaves, Dosa Station, Green Room and Cook with Mona should outrank generic cafes."
ABY-Q004,Arugam Bay,Where can I get dosa or Tamil food?,dosa + tamil-food + budget,ABY-P008,,Dosa Station should rank first.
ABY-Q005,Arugam Bay,I want crab or lobster from a local fisherman.,crab/lobster + fresh-catch + authentic,ABY-P004,,Mr Fisherman has direct review evidence.
ABY-Q006,Arugam Bay,I want a Sri Lankan cooking class.,cooking-class + authentic-local,ABY-P020,,Cook with Mona should rank first.
ABY-Q007,Arugam Bay,I want a cheap fish barbecue with a social atmosphere.,budget + fish-bbq + social,ABY-P019,,Beach Hut dinner is the strongest source-backed match.
ABY-Q008,Arugam Bay,I want vegan-friendly Sri Lankan food.,vegan-friendly + Sri Lankan,"ABY-P006,ABY-P007,ABY-P020",,Strict current menu check still required.
ABY-Q009,Arugam Bay,I want seafood and nightlife / late opening.,seafood + late-night + social,"ABY-P005,ABY-P009,ABY-P017",,"Bambini, Dewa and Fish Corner are strong timing/social fits."
ABY-Q010,Arugam Bay,I want stronger spices and less tourist-adapted food.,spice-authenticity + local/Tamil,"ABY-P006,ABY-P008,ABY-P020",,"Use community spice signal carefully as preference guidance, not fact about every venue."
