place_id,place_name,sigiriya_area,address,place_type,cuisine_focus,local_food_strength,dietary_strength,price_band_lkr,rating,review_count,opening_hours,phone,signature_or_recommended_dishes,best_for,source_type,source_url,verified_date,confidence
SIG-P001,S.l.kafé Restaurant & Cooking Class,Sigiriya,"Sigiriya, Central Province",Restaurant / cooking class,Asian / Sri Lankan,Very High,Vegetarian and vegan options,Budget,4.9,141,Current listing; verify day-of,Not reliably listed,Sri Lankan curries; cooking class,"authentic-local,cooking-class,budget",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g304141-d24038580-Reviews-S_l_kafe_Restaurant_Cooking_Class-Sigiriya_Central_Province.html,2026-08-11,0.98
SIG-P002,Kenoli Restaurant,Sigiriya,"Sigiriya, Central Province",Restaurant,Asian / Healthy,Very High,Vegetarian friendly; vegan options,Budget,4.9,371,"Lunch, Dinner, Late Night, Drinks",Not reliably listed,Curries; healthy Sri Lankan meals,"authentic-local,vegetarian,budget",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g304141-d17796477-Reviews-Kenoli_Restaurant-Sigiriya_Central_Province.html,2026-08-11,0.98
SIG-P003,Sigiri Liya Rest,Sigiriya,"Sigiriya, Central Province",Restaurant,Asian / Healthy / Sri Lankan,Very High,Vegetarian-friendly likely,Budget,4.9,365,Current listing; verify day-of,Not reliably listed,Local curries; roti,"authentic-local,curry,budget",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g304141-d23838105-Reviews-Sigiri_Liya_Rest-Sigiriya_Central_Province.html,2026-08-11,0.98
SIG-P004,Little Hut,Sigiriya,"Sigiriya, Central Province",Restaurant,Healthy / Sri Lankan,Very High,Vegetarian-friendly likely,Budget,4.9,161,Current listing; verify day-of,Not reliably listed,Sri Lankan curry,"cheap-eats,families,local-food",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g304141-d18840954-Reviews-Little_Hut-Sigiriya_Central_Province.html,2026-08-11,0.97
SIG-P005,Sigiriya wew Thawulla Restaurant,Hotel Road / lake area,"Hotel Road, Sigiriya 21120",Restaurant,Asian / Street Food / Sri Lankan,High,Vegetarian friendly; vegan options,Budget,4.9,284,07:00-23:00,+94 77 616 9542,Vegetable curry; devilled chicken; hot garlic fish; roti; fresh juices,"lake-view,local-food,families",Tripadvisor detailed current page,https://www.tripadvisor.com/Restaurant_Review-g304141-d17660325-Reviews-Sigiriya_wew_Thawulla_Restaurant-Sigiriya_Central_Province.html,2026-08-11,0.99
SIG-P006,Wijesiri Family Restaurant,Sigiriya,"Sigiriya, Central Province",Family restaurant,Asian / Sri Lankan,High,Mixed,Budget,4.7,637,Current listing; verify day-of,Not reliably listed,Sri Lankan curries,"family,budget,local-food",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g304141-d10635425-Reviews-Wijesiri_Family_Restaurant-Sigiriya_Central_Province.html,2026-08-11,0.95
SIG-P007,Gamagedara Village Food,Sigiriya,"Sigiriya, Central Province",Village-food restaurant,Healthy / Sri Lankan,Very High,Vegetarian-friendly likely,Budget,4.6,620,Current listing; verify day-of,Not reliably listed,Village rice & curry; local vegetables,"village-food,authentic,budget",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g304141-d8835373-Reviews-Gamagedara_village_food-Sigiriya_Central_Province.html,2026-08-11,0.96
SIG-P008,Mom's Kitchen,Sigiriya,"Sigiriya, Central Province",Restaurant,Asian / Sri Lankan,Very High,Mixed,Budget,4.7,178,Current listing; verify day-of,Not reliably listed,Home-style Sri Lankan curries,"home-style,budget",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g304141-d15049114-Reviews-Mom_s_Kitchen-Sigiriya_Central_Province.html,2026-08-11,0.95
SIG-P009,Sigiri Lion Face Restaurant,Sigiriya,"Sigiriya, Central Province",Restaurant,Sri Lankan / Asian / Western,High,Vegetarian and vegan options reported,Budget,,,Current listing; verify day-of,Not listed,Sri Lankan food; fresh juices,"mixed-group,vegetarian,budget",Tripadvisor listing,https://www.tripadvisor.com/Restaurant_Review-g304141-d23986485-Reviews-Sigiri_Lion_face_Restaurant-Sigiriya_Central_Province.html,2026-08-11,0.94
SIG-P010,Tharumila Restaurant,Sigiriya,"Sigiriya, Central Province",Restaurant,Sri Lankan / European,Very High,Vegetarian options,Budget,,,Current listing; verify day-of,Not listed,Home-cooked Sri Lankan food; okra dishes,"home-style,vegetarian,budget",Tripadvisor listing,https://www.tripadvisor.com/Restaurant_Review-g304141-d23998061-Reviews-Tharumila_Restaurant-Sigiriya_Central_Province.html,2026-08-11,0.94
SIG-P011,Sigiri Chef Lady Restaurant & Cookery Class,Sigiriya,"Sigiriya, Central Province",Restaurant / cooking class,Sri Lankan,Very High,Vegetarian options likely,Budget-Mid,,,Verify current session hours,Not listed,Sri Lankan cooking class and meal,"cooking-class,home-style",Tripadvisor listing,https://www.tripadvisor.com/Restaurant_Review-g304141-d28121451-Reviews-Sigiri_Chef_Lady_Restaurant_Cookery_Class-Sigiriya_Central_Province.html,2026-08-11,0.94
SIG-P012,Nature's Nook Village Cookery Class & Restaurant,Sigiriya,"Sigiriya, Central Province",Restaurant / cooking class,Sri Lankan village food,Very High,Vegetarian options likely,Budget-Mid,,,Verify current session hours,Not listed,Village-style Sri Lankan curries,"cooking-class,village-food",Tripadvisor listing,https://www.tripadvisor.com/Restaurant_Review-g304141-d28145014-Reviews-Nature_s_Nook_Village_Cookery_Class_Restaurant-Sigiriya_Central_Province.html,2026-08-11,0.94
SIG-P013,Eco Kitchen Sigiriya,Sigiriya,"Sigiriya, Sri Lanka",Organic cooking class,Sri Lankan,Very High,Vegetarian-focused course options,Approx. class pricing varies,,,Course-based sessions,Not listed,Coconut roti; banana curry; rice; 7-9 dish courses; herbal tea,"organic,cooking-class,garden",Official website,https://ecokitchen.lk/,2026-08-11,0.99
SIG-P014,Hotel Sigiriya Main Restaurant,Hotel Sigiriya,"Hotel Sigiriya, Sigiriya",Hotel restaurant,Sri Lankan + international,High,Mixed,Premium hotel dining,,,Hotel dining hours; verify current,+94 via hotel,Sri Lankan delights; international dishes,"hotel-dining,families,mixed-group",Official hotel website,https://www.brownshotels.com/hotelsigiriya/dining/,2026-08-11,0.99
SIG-P015,Alloro Chooti Restaurant Sigiriya,Sigiriya,"Sigiriya, Central Province",Restaurant,Asian / Sri Lankan,High,Mixed,Budget,4.3,589,Current listing; verify day-of,Not reliably listed,Sri Lankan local dishes,"treehouse-vibe,budget",Tripadvisor + travel guide,https://travelinsighter.com/restaurants-in-sigiriya-sri-lanka/,2026-08-11,0.92
SIG-P016,Moats Cafe,Sigiriya,"Sigiriya, Central Province",Cafe / restaurant,Cafe / breakfast / mixed,Medium,Mixed,Mid,,,Verify current hours,Not listed,Breakfast; coffee,"breakfast,cafe",Recent travel guide,https://travelinsighter.com/restaurants-in-sigiriya-sri-lanka/,2026-08-11,0.84
