attraction_id,attraction_name,city,district,province,category,sub_category,description,primary_activity,source_id,verified_date
COL-A001,Colombo National Museum,Colombo,Colombo,Western Province,Museum & Culture,Museum,"Sri Lanka's principal national museum, presenting archaeology, history, art and cultural heritage.",Museum Visit | Heritage Exploration | History | Photography,SRC-OFFICIAL|SRC-REVIEWS,2026-08-19
COL-A002,Galle Face Green,Colombo,Colombo,Western Province,Scenic & Leisure,Urban Park / Seafront,Historic oceanfront promenade and open green in central Colombo.,Sunset Viewing | Scenic Views | Walking | Local Culture Experience,SRC-SLTOURISM,2026-08-19
COL-A003,Gangaramaya Buddhist Temple,Colombo,Colombo,Western Province,Religious,Religious Site,Major Buddhist temple complex near Beira Lake with varied architecture and religious collections.,Religious & Spiritual Visit | Heritage Exploration | Architecture Exploration,SRC-SLTOURISM|SRC-REVIEWS,2026-08-19
COL-A004,Viharamahadevi Park,Colombo,Colombo,Western Province,Scenic & Leisure,Urban Park / Garden,Large landscaped public park opposite Colombo Town Hall.,Nature Walk | Garden Visit | Relaxation | Photography,SRC-SLTOURISM,2026-08-19
COL-A005,Colombo Lotus Tower,Colombo,Colombo,Western Province,Scenic & Leisure,Landmark / Observation Tower,Modern Colombo landmark with elevated city views and visitor facilities.,Scenic Views | Photography | Urban Experience,SRC-OFFICIAL,2026-08-19
COL-A006,Pettah Market,Colombo,Colombo,Western Province,Urban & Shopping,Market,Dense commercial market district offering local shopping and street-level cultural experience.,Local Market & Shopping | Local Culture Experience,SRC-SLTOURISM,2026-08-19
COL-A007,Arcade Independence Square,Colombo,Colombo,Western Province,Heritage,Heritage / Leisure Complex,"Restored heritage complex combining architecture, public space, shopping and dining.",Architecture Exploration | Shopping | Photography,SRC-SLTOURISM,2026-08-19
COL-A008,National Zoological Gardens of Sri Lanka - Dehiwala,Colombo,Colombo,Western Province,Wildlife,Zoological Garden,"National zoological institution in Dehiwala focused on animals, conservation and public education.",Wildlife Viewing | Family Experience | Bird Watching,SRC-OFFICIAL|SRC-REVIEWS,2026-08-19
COL-A009,Mount Lavinia Beach,Colombo,Colombo,Western Province,Beach & Marine,Beach,Popular beach south of central Colombo associated with seaside leisure and sunsets.,Beach Relaxation | Sunset Viewing | Swimming,SRC-REVIEWS,2026-08-19
COL-A010,Kelaniya Raja Maha Vihara,Colombo,Colombo,Western Province,Religious,Religious Site,"Historic Buddhist temple in the wider Colombo area known for worship, paintings and cultural heritage.",Religious & Spiritual Visit | Heritage Exploration | Photography,SRC-REVIEWS,2026-08-19
