place_id,place_name,city,area,address,place_type,cuisine_focus,local_food_strength,dietary_strength,price_band_lkr,rating,review_count,opening_hours,phone,signature_or_recommended_dishes,best_for,source_type,source_url,verified_date,confidence
GAL-P001,Lucky Fort Restaurant,Galle,Galle Fort,"No. 7 Parawa Street, Galle 80000, Sri Lanka",Restaurant,"Sri Lankan, Asian, Healthy",Very High,Vegetarian friendly; vegan options; gluten-free options,"Budget / $ (rice & 10 curries listed around LKR 3,250 for two)",4.5,1948,Sun/Sat 12:00-21:30; Mon-Fri 12:00-22:30,+94 91 224 2922,Traditional Sri Lankan rice with ten curries; local seafood,Authentic rice & curry; budget local food; cooking-class experience,Tripadvisor/current listing,https://www.tripadvisor.com/Restaurant_Review-g297896-d4766204-Reviews-Lucky_Fort_Restaurant-Galle_Galle_District_Southern_Province.html,2026-08-13,0.98
GAL-P002,The Tuna & The Crab,Galle,Galle Fort,"Dutch Hospital Shopping Precinct, Hospital Street, Galle 80000, Sri Lanka",Seafood restaurant,Seafood; Japanese-Sri Lankan fusion,High,"Vegetarian choices available, but seafood-focused",Premium,4.3,388,Daily 12:00-22:00,+94 91 224 2405,Lagoon crab; garlic-chilli crab; pepper crab; sashimi; sushi,Premium seafood; crab; Japanese-Sri Lankan fusion; special occasions,Official website + current listing,https://thetunaandthecrab.com/contact-us/,2026-08-13,0.99
GAL-P003,Pedlar's Inn Cafe,Galle,Galle Fort,"92 Pedlar Street, Galle Fort, Galle 80000, Sri Lanka",Cafe / restaurant,"Cafe, Fusion, Sri Lankan",Medium-High,Vegetarian friendly; vegan options; gluten-free options,Medium / $$-$$$,4.2,1545,Daily 08:00-22:00,+94 91 222 5333,Sri Lankan curry sets; grilled tuna/prawns; burgers; coffee,Breakfast; coffee; families; relaxed Galle Fort dining,Tripadvisor/current listing,https://www.tripadvisor.com/Restaurant_Review-g297896-d1493783-Reviews-Pedlar_s_Inn_Cafe-Galle_Galle_District_Southern_Province.html,2026-08-13,0.98
GAL-P004,A Minute by Tuk Tuk,Galle,Galle Fort,"Shop U-12, Old Dutch Hospital, Hospital Street, Galle 80000, Sri Lanka",Restaurant / lounge,"Sri Lankan, Seafood, Asian, Fusion, European",High,Vegetarian friendly; vegan options; gluten-free options,Medium / $$-$$$,4.2,1733,Daily 08:00-22:30,+94 77 289 4249,Seafood curries; lobster; Asian-inspired tapas; wraps,Ocean views; Sri Lankan fusion; seafood; couples; brunch,Tripadvisor/current listing,https://www.tripadvisor.com/Restaurant_Review-g297896-d7284692-Reviews-A_Minute_by_Tuk_Tuk-Galle_Galle_District_Southern_Province.html,2026-08-13,0.98
GAL-P005,CocoBay La Mer Beach Restaurant,Galle,Unawatuna / Roomassala,"10/4 Roomassala Road, CoCo Bay Unawatuna, Unawatuna 80600, Sri Lanka",Beach restaurant,"Seafood, Mediterranean, Sri Lankan",High,Vegetarian friendly; vegan options; gluten-free options,Premium / $$-$$$,4.7,279,Daily 08:00-23:00,+94 76 989 4513,Fresh seafood platter; lobster; prawn rice & curry; pizza and pasta,Beach dining; seafood dinners; romantic meals; hotel dining,Official hotel website + Tripadvisor,https://cocobayunawatuna.com/,2026-08-13,0.98
GAL-P006,Wijaya Beach Restaurant,Galle,Dalawella / Talpe,"Dalawalla, Talpe, Galle, Sri Lanka",Beach restaurant / bar,"Seafood, Sri Lankan, Pizza",High,Vegetarian friendly; vegan options; gluten-free options,Medium / $$-$$$,4.2,1143,Not sufficiently verified,+94 91 720 0094,Wood-fired thin-crust pizza; seafood; Sri Lankan dishes,Beach dining; pizza; seafood; sunset atmosphere,Tripadvisor/current listing,https://www.tripadvisor.com/Restaurant_Review-g297896-d1818302-Reviews-Wijaya_Beach_Restaurant-Galle_Galle_District_Southern_Province.html,2026-08-13,0.96
GAL-P007,Indian Hut,Galle,Galle Fort,"Galle Fort, Galle 80000, Sri Lanka",Indian restaurant,"Indian, Asian",Low,Vegetarian friendly; vegan options; halal,Budget / $,3.7,566,Mon-Sat 11:00-22:00; Sunday listed closed on Tripadvisor,+94 91 222 7442,Biryani; chicken tikka masala; naan; Indian curries,Budget Indian food; vegetarian/vegan choices; halal options,Tripadvisor/current listing,https://www.tripadvisor.in/Restaurant_Review-g297896-d1452053-Reviews-Indian_Hut-Galle_Galle_District_Southern_Province.html,2026-08-13,0.94
GAL-P008,Isle of Gelato,Galle,Galle Fort,"60A Pedlars Street, Galle Fort, Galle 80000, Sri Lanka",Gelateria / dessert cafe,Italian gelato; tropical Sri Lankan flavours,Medium,Vegetarian friendly; gluten-free options; vegan flavours reported,Medium / $,4.8,471,Daily 10:00-22:00,+94 77 791 6178,Puttalam sea-salt gelato; tropical-fruit gelato; affogato,Dessert; gelato; coffee; local tropical flavours,Tripadvisor/current listing + community recommendations,https://www.tripadvisor.com/Restaurant_Review-g297896-d13201787-Reviews-Isle_Of_Gelato-Galle_Galle_District_Southern_Province.html,2026-08-13,0.98
GAL-P009,Fort Rope Inn Restaurant,Galle,Galle Fort,"Galle Fort, Galle, Sri Lanka",Restaurant,Sri Lankan / local cuisine,High,Not sufficiently verified,Budget,,0,Not sufficiently verified,,Rice & curry,Budget Sri Lankan food; rice & curry,Original dataset; web details not sufficiently verified,,2026-08-13,0.65
GAL-P010,Heritage Café & Bistro,Galle,Galle Fort,"54 Pedlar Street, corner of Lighthouse & Pedlar Street, Galle Fort, Galle 80000, Sri Lanka",Cafe / bistro,"Sri Lankan, International, Pizza, Fusion",High,Not sufficiently verified from retrieved listing,Medium / $$-$$$,4.9,496,Open daily; current listing shows service until about 22:00,+94 91 223 9907,Crab kottu; prawn kottu; South Coast seafood rice; Colombo beef curry; Batticaloa prawn curry,Sri Lankan fusion; breakfast; seafood; heritage courtyard dining,Tripadvisor/current listing,https://www.tripadvisor.com/Restaurant_Review-g297896-d27422039-Reviews-Heritage_Cafe_Bistro-Galle_Galle_District_Southern_Province.html,2026-08-13,0.97
