place_id,place_name,city,area,address,place_type,cuisine_focus,local_food_strength,dietary_strength,price_band_lkr,rating,review_count,opening_hours,phone,signature_or_recommended_dishes,best_for,source_type,source_url,verified_date,confidence
ELA-P001,Matey Hut Ella Sri Lanka,Ella,Ella town / near tunnel,"No.91, near the tunnel, Ella 90090",Restaurant,Sri Lankan / home-style,Very High,Vegetarian options widely reported,"Rs 1,000–2,000",4.8,3404.0,11:00-22:00,+94 77 258 3450,Rice & curry; jackfruit curry; banana flower curry; fresh juices,"authentic-local,budget,cooking-class-interest",Current listing + review aggregation,https://www.tripadvisor.com/Restaurant_Review-g616035-d9813968-Reviews-Matey_Hut-Ella_Uva_Province.html,2026-08-11,0.98
ELA-P002,The Kitchen Garden,Ella,Ella,"Ella, Sri Lanka",Restaurant,Sri Lankan / Asian,Very High,Vegetarian friendly; vegan and gluten-free options reported,Budget signal,5.0,427.0,Verify current hours,Not reliably listed,Multi-course traditional Sri Lankan cuisine; home-style curries,"authentic-local,vegetarian,home-style",Public social page + review aggregation,https://www.tripadvisor.com/Restaurant_Review-g616035-d14905865-Reviews-The_Kitchen_Garden-Ella_Uva_Province.html,2026-08-11,0.97
ELA-P003,Wimala Restaurant,Ella,Ella town,"Ella, Sri Lanka",Restaurant,Local / mixed,High,Mixed,"Rs 1,000–2,000",4.5,459.0,05:30-22:00,+94 77 280 4582,Local breakfast; rice-and-curry style meals,"budget,breakfast,local-oriented",Current business listing + food guide,https://www.baconismagic.ca/sri-lanka/ella-food-restaurants/,2026-08-11,0.93
ELA-P004,Cafe Chill,Ella,Ella town,"A23, Ella 90090",Sri Lankan restaurant / cafe,Sri Lankan + international,High,Vegan options available,"Rs 2,000–6,000",4.5,12180.0,08:30-02:00,+94 77 180 4020,String hoppers; coconut roti; fish/chicken/egg curry; vegan local meal options,"late-night,first-time-visitors,mixed-group",Official menu + current listing,https://www.cafechill.lk/cafe-chill-ella-menu.html,2026-08-11,0.99
ELA-P005,Cafe C Ella,Ella,Ella town,"56 A23, Ella, Sri Lanka",Sri Lankan restaurant,Sri Lankan,High,Mixed,"Rs 1,000–2,000",4.9,1408.0,11:30-23:00,+94 71 814 1746,Sri Lankan meals / curries,"local-food,middle-budget",Current business listing,https://www.google.com/maps/search/?api=1&query=Cafe+C+Ella+Ella+Sri+Lanka,2026-08-11,0.95
ELA-P006,Ella Village Restaurant,Ella,Ella town,"A23, Ella 90090",Restaurant,Local / mixed,High,Mixed,Not listed,4.7,277.0,07:30-23:30,+94 57 222 8685,Sri Lankan-style meals,"local-food,breakfast,dinner",Current business listing,https://www.google.com/maps/search/?api=1&query=Ella+Village+Restaurant+Ella+Sri+Lanka,2026-08-11,0.92
ELA-P007,Raha Ella Sri Lanka,Ella,Ella - Passara Road,"No.01 Ella - Passara Rd, Ella 90090",Sri Lankan restaurant,Sri Lankan,High,Mixed,"Rs 1,000–2,000",4.4,880.0,09:00-22:00,+94 57 205 1082,Sri Lankan meals,"budget-mid,local-food",Current business listing,https://www.google.com/maps/search/?api=1&query=Raha+Ella+Sri+Lanka+Ella+Sri+Lanka,2026-08-11,0.94
ELA-P008,Dream Cafe Ella,Ella,Main Street,"Main Street, Ella 90090",Sri Lankan restaurant,Sri Lankan + cafe,High,Mixed,Not listed,4.5,3088.0,07:00-23:00,+94 57 205 1110,Sri Lankan meals / cafe dishes,"breakfast,central-location",Current business listing,https://www.google.com/maps/search/?api=1&query=Dream+Cafe+Ella+Ella+Sri+Lanka,2026-08-11,0.93
ELA-P009,Café UFO Ella,Ella,Ella town,"57 Wellawaya-Ella-Kumbalwela Hwy, Ella 90090",Sri Lankan restaurant,Sri Lankan + international,High,Vegetarian-friendly listing signal,"Rs 2,000–6,000",4.7,5481.0,07:00-00:00,+94 77 774 8168,Sri Lankan dishes / mixed menu,"late-night,groups",Current business listing,https://www.google.com/maps/search/?api=1&query=Cafe+UFO+Ella+Ella+Sri+Lanka,2026-08-11,0.94
ELA-P010,360 Ella,Ella,Main Street,"10 Main Street, Ella 90090",Restaurant,Mixed / Sri Lankan available,Medium-High,Mixed,Not listed,4.6,6346.0,07:30-23:00,+94 76 288 7480,Sri Lankan and mixed dishes,"central-location,groups",Current business listing,https://www.google.com/maps/search/?api=1&query=360+Ella+Ella+Sri+Lanka,2026-08-11,0.92
