place_id,place_name,arugam_bay_area,address,place_type,cuisine_focus,local_food_strength,dietary_strength,price_band_lkr,rating,review_count,opening_hours,phone,signature_or_recommended_dishes,best_for,source_type,source_url,verified_date,confidence
ABY-P001,The Sketch,Arugam Bay,"Arugam Bay, Eastern Province",Restaurant,Indian / Seafood / Sri Lankan,High,Mixed,"Rs 2,000–6,000",4.9,404,Current listing; verify day-of,Not reliably listed,Fresh grilled fish; seafood; authentic curries,"fresh-catch,seafood,local-flavours",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g3348959-d15073393-Reviews-The_Sketch-Arugam_Bay_Eastern_Province.html,2026-08-11,0.99
ABY-P002,LEAF & VINE,Arugam Bay,"Arugam Bay, Eastern Province",Restaurant,Seafood,Medium-High,Mixed,"Rs 2,000–6,000",4.7,459,Current listing; verify day-of,Not reliably listed,Fresh fish; seafood,"beach-seating,seafood,groups",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g3348959-d12640957-Reviews-LEAF_VINE-Arugam_Bay_Eastern_Province.html,2026-08-11,0.98
ABY-P003,Neptune's Best Restaurant Arugambay,Arugam Bay,"Arugam Bay, Eastern Province",Cafe / seafood restaurant,Seafood,High,Mixed,Budget,4.9,230,Current listing; verify day-of,Not reliably listed,Prawns; calamari; white snapper,"fresh-seafood,budget",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g3348959-d20975135-Reviews-Neptune_s_Best_Restaurant_Arugambay-Arugam_Bay_Eastern_Province.html,2026-08-11,0.99
ABY-P004,Mr Fisherman,Arugam Bay,"Arugam Bay, Eastern Province",Seafood restaurant,Fresh seafood / Sri Lankan,Very High,Mixed,Budget,4.6,1113,Current listing; verify day-of,Not reliably listed,Whole fish; prawn curry; crab; lobster,"authentic-local,fresh-catch,seafood",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g3348959-d10520610-Reviews-Mr_Fisherman-Arugam_Bay_Eastern_Province.html,2026-08-11,0.99
ABY-P005,Bambini's Cafe & Restaurant,Panama Road,"RRVJ+R74, Panama Rd, Arugam Bay",Cafe / restaurant,Seafood + mixed,Medium,Mixed,"Rs 1,000–5,000",4.7,744,Open 24 hours,+94 77 522 6038,Seafood; mixed cafe meals,"late-night,social,mixed-group",Current business listing + Tripadvisor,https://www.tripadvisor.com/Restaurant_Review-g3348959-d10487557-Reviews-Bambini_s_Cafe-Arugam_Bay_Eastern_Province.html,2026-08-11,0.98
ABY-P006,The Green Room,Main Road,"Main Road, Arugam Bay",Restaurant,Seafood / Asian / Sri Lankan,Very High,Vegetarian; vegan; gluten-free listing signals,Budget-Mid,,,Current page shows morning opening; verify,+94 77 362 6766,Prawn curry; garlic prawns; fish curry; fresh fish; avocado juice,"authentic-local,seafood,dietary-inclusive",Tripadvisor detailed listing,https://www.tripadvisor.com/Restaurant_Review-g3348959-d1733566-Reviews-The_Green_Room-Arugam_Bay_Eastern_Province.html,2026-08-11,0.99
ABY-P007,Curry Leaves Arugam Bay,Panama Road,"Panama Rd, Arugam Bay 32500",Health food / Sri Lankan,Very High,Vegetarian/health-focused,Mid,4.9,62,11:00-23:00,+94 76 009 6764,Traditional Sri Lankan food; mango curry,"healthy,vegetarian,local-food",Current business listing + Tripadvisor,https://www.tripadvisor.com/Restaurant_Review-g3348959-d17439700-Reviews-Curry_Leaves-Arugam_Bay_Eastern_Province.html,2026-08-11,0.98
ABY-P008,Dosa Station,Main Street,"Main Street, Arugam Bay 32506",Sri Lankan / South Indian restaurant,Tamil / South Indian / Sri Lankan,High,Strong vegetarian potential,"Rs 1,000–2,000",4.8,1036,08:00-23:00; Fri split hours,+94 75 819 3653,Dosa; vegetarian meals,"vegetarian,budget,tamil-food",Current business listing,https://www.google.com/maps/search/?api=1&query=Dosa+Station+Arugam+Bay+Sri+Lanka,2026-08-11,0.98
ABY-P009,Dewa Restaurant & Cafe,Panama Road,"RRVJ+R74, Panama Rd, Arugam Bay",Restaurant,Seafood / beach dining,Medium-High,Mixed,"Rs 2,000–7,000",4.7,2014,07:30-23:00,+94 71 949 4360,Fresh seafood platters; cocktails,"seafood,beach-dining,groups",Official website + current business listing,https://dewasrilanka.com/,2026-08-11,0.99
ABY-P010,CATCH OF THE DAY,Panama Road,"Panama Rd, Arugam Bay 32500",Restaurant,Seafood / fresh catch,High,Mixed,"Rs 3,000–4,000",5.0,431,11:00-23:00,+94 74 373 7997,Fresh catch seafood,"fresh-catch,seafood",Current business listing,https://www.google.com/maps/search/?api=1&query=Catch+of+the+Day+Arugam+Bay+Arugam+Bay+Sri+Lanka,2026-08-11,0.98
