place_id,place_name,city,area,address,place_type,cuisine_focus,local_food_strength,dietary_strength,price_band_lkr,rating,review_count,opening_hours,phone,signature_or_recommended_dishes,best_for,source_type,source_url,verified_date,confidence
YAL-P001,The Restaurant - Jetwing Yala,Yala,Palatupana / Kirinda,"Jetwing Yala, Palatupana, Yala, Kirinda, Sri Lanka",Hotel main restaurant,"Sri Lankan and international; buffet, set menu and à la carte",High,Dietary requirements can be requested; exact categories not sufficiently verified,Premium,4.8,5,Breakfast 07:00-10:30; Lunch 12:00-15:00; Dinner 19:00-22:30,+94 47 471 0710,Sri Lankan and international buffets; live-action stations; grilled specialties,Safari resort dining; buffet; families; seafood; special occasions,Official Jetwing website + Tripadvisor,https://www.jetwinghotels.com/jetwingyala/dining/the-restaurant/,2026-08-14,0.99
YAL-P002,Cinnamon Wild Yala Restaurant,Yala,Palatupana / Kirinda,"Palatupana, Kirinda 82614, Sri Lanka",Resort buffet restaurant,Sri Lankan and international; buffet,High,Not sufficiently verified,Premium,4.5,1190,Meal-service hours not sufficiently verified,+94 47 223 9449,Sri Lankan cuisine; buffet breakfast; resort dining,Sri Lankan buffet; safari resort dining; families,Official hotel + current business listing,https://www.cinnamonhotels.com/cinnamon-wild-yala,2026-08-14,0.97
YAL-P003,Big Game Camp Yala Restaurant,Yala,Yala / Kataragama area,"Yala area, Sri Lanka",Safari camp restaurant,Sri Lankan and camp-style meals,High,Dietary requests generally possible at camp; exact support not sufficiently verified,Medium,,,Not sufficiently verified,,Sri Lankan rice and curry; camp meals,Safari-camp experience; local meals; outdoor dining,Original dataset; current restaurant-specific details not sufficiently verified,,2026-08-14,0.65
YAL-P004,Kirinda Seafood Restaurant,Yala,Kirinda,"Kirinda, Sri Lanka",Seafood restaurant,Sri Lankan seafood,High,Not sufficiently verified,Budget,,,Not sufficiently verified,,Fresh fish; seafood,Fresh local seafood; budget dining,Original dataset; current web details not sufficiently verified,,2026-08-14,0.55
YAL-P005,Tissamaharama Rice & Curry House,Yala,Tissamaharama,"Tissamaharama, Sri Lanka",Local restaurant,Sri Lankan rice and curry,Very High,Vegetarian curries likely; exact dietary support not sufficiently verified,Budget,,,Not sufficiently verified,,Rice and curry; local vegetable curries,Authentic local food; budget meals,Original dataset; current web details not sufficiently verified,,2026-08-14,0.55
YAL-P006,Chef Lady Restaurant,Yala,Tissamaharama,"No. 87, Tissamaharama-Kataragama Road / Tissa-Akurugoda Road, Tissamaharama 82600, Sri Lanka",Restaurant,"Sri Lankan, Seafood, Asian, Grill, Chinese, Italian",High,Vegetarian friendly; vegan options; gluten-free options,Medium / $$-$$$,4.8,888,Daily 09:00-23:00,+94 77 109 9588,Yellowfin tuna curry; yellow curry crab; grilled prawns; seafood kottu; devilled chicken,Seafood; local curries; families; varied diets; tourist-friendly dining,Tripadvisor + current business/review listings,https://www.tripadvisor.com/Restaurant_Review-g1102395-d13836279-Reviews-Chef_Lady_Restaurant-Tissamaharama_Southern_Province.html,2026-08-14,0.99
YAL-P007,Yala Peace Cottages & Restaurant,Yala,Tissamaharama,"No. 43, Gonapattiya Main Street, Tissamaharama 82600, Sri Lanka",Cottage restaurant,"Authentic Sri Lankan, Asian; locally sourced cuisine",Very High,Meals for kids confirmed; other dietary categories not sufficiently verified,Medium,4.8,380,Not sufficiently verified,+94 77 623 0420,Authentic Sri Lankan dishes; garden-sourced ingredients,Village-style local food; families; couples; relaxed cottage dining,Official website + Google Hotels/Booking,https://yalapeacecottages.com/,2026-08-14,0.99
YAL-P008,Refresh Seafood Restaurant,Yala,Tissamaharama / Akurugoda,"Akurugoda, B464, Tissamaharama, Southern Province, Sri Lanka",Seafood restaurant,"Seafood, Sri Lankan",High,Vegetarian options,"LKR 3,000-4,000 per person (current listing)",3.8,732,Daily 05:00-21:30,+94 47 223 7357,Fresh seafood; grilled fish; tuna; curried crab; prawns,Seafood; grilled fish; early meals; families,Current business/review listings,https://restaurantguru.com/Refresh-Seafood-Restaurant-Tissamaharama,2026-08-14,0.99
YAL-P009,Blue Turtle Hotel Restaurant,Yala,Tissamaharama / Mahasenpura,"119/2 Tikiriwewa, Mahasenpura, Tissamaharama 82600, Sri Lanka",Hotel restaurant,Sri Lankan and Western; BBQ / à la plancha,High,Not sufficiently verified,Medium,4.3,292,Not sufficiently verified,+94 47 223 8263,Sri Lankan rice and curry; Western dishes; BBQ / à la plancha; fresh fish/seafood on request,Families; safari travellers; local food plus Western choices; BBQ,Official hotel website + current review listings,https://www.blueturtlehotel.com/index.php?Itemid=120&catid=12&id=8%3Aour-food&lang=en&option=com_content&view=article,2026-08-14,0.99
YAL-P010,The Safari Tissa Restaurant,Yala,Tissamaharama,"Tissamaharama, Sri Lanka",Hotel restaurant,Sri Lankan and international,High,Not sufficiently verified,Medium,,,Not sufficiently verified,,Breakfast; Sri Lankan and international hotel meals,Breakfast; safari travellers; hotel dining,Original dataset; current restaurant-specific details not sufficiently verified,,2026-08-14,0.6
