query_id,city,sample_user_query,expected_filters_or_intent,relevant_place_ids,expected_result_text,notes
ELL-Q001,Ella,I want cheap authentic Sri Lankan rice and curry in Ella.,budget + authentic-local + rice-and-curry,"ELA-P001,ELA-P002,ELA-P003,ELA-P005,ELA-P007",,Matey Hut/Kitchen Garden should rank above high-popularity mixed cafes.
ELL-Q002,Ella,I am vegan and want a local Sri Lankan meal in Ella.,vegan + Sri Lankan + local,"ELA-P002,ELA-P023,ELA-P004",,Kitchen Garden and Little Folly are strong candidates; Cafe Chill has an explicit vegan option.
ELL-Q003,Ella,Where can I try jackfruit and banana flower curry?,jackfruit + banana-flower + authentic,ELA-P001,,Matey Hut has strongest current dish evidence.
ELL-Q004,Ella,I want a Sri Lankan cooking experience in Ella.,cooking-class + cultural-experience,"ELA-P020,ELA-P001",,Ella Spice Garden has direct official evidence; Matey Hut is associated with cooking-class interest.
ELL-Q005,Ella,"I want local breakfast, not an expensive tourist cafe.",breakfast + budget + local,"ELA-P003,ELA-P018,ELA-P022",,Wimala/Little Restaurant/Ceylon Tea Center should be considered before premium mixed cafes.
ELL-Q006,Ella,Where can I have string hoppers or coconut roti with curry?,string-hoppers + coconut-roti + curry,ELA-P004,,Cafe Chill has explicit menu evidence.
ELL-Q007,Ella,"I want vegetarian food under LKR 2,000.",vegetarian + budget,"ELA-P015,ELA-P023,ELA-P002",,Exact current menu prices should be rechecked; Dosa Cafe is a strong structured match.
ELL-Q008,Ella,I want tea and a Sri Lankan breakfast in Ella.,tea + breakfast + Sri Lankan,ELA-P022,,Ceylon Tea Center should rank highly.
ELL-Q009,Ella,I prefer a quiet place outside the busiest tourist street.,quiet-local-area + local food,"ELA-P012,ELA-P013,ELA-P020",,Kithal Ella / Passara Road candidates should get a preference boost.
ELL-Q010,Ella,My group wants both local Sri Lankan dishes and international choices late at night.,mixed-group + late-night,"ELA-P004,ELA-P009,ELA-P010",,Cafe Chill/UFO/360 are suitable mixed-group candidates.
