place_id,place_name,city,area,address,place_type,cuisine_focus,local_food_strength,dietary_strength,price_band_lkr,rating,review_count,opening_hours,phone,signature_or_recommended_dishes,best_for,source_type,source_url,verified_date,confidence
NEL-P001,Grand Indian,Nuwara Eliya,Grand Hotel Road,"The Grand Hotel, Grand Hotel Road, Nuwara Eliya 22200, Sri Lanka",Restaurant,"Indian, Asian",Low,Vegetarian friendly; vegan; halal; gluten-free options,Premium (exact LKR not verified),4.4,3224,Daily 12:00-15:30; 18:30-22:30,+94 52 222 2881,North & Central Indian curries; Indian vegan menu; lassi,Indian cuisine; vegetarian/vegan options; upscale dining,Official website + current business listing,https://www.thegrandhotelnuwaraeliya.com/dining/grand-indian/,2026-08-13,0.99
NEL-P002,Grand Thai,Nuwara Eliya,Grand Hotel Road,"The Grand Hotel, Grand Hotel Road, Nuwara Eliya 22200, Sri Lanka",Restaurant,"Thai, Asian",Low,Vegetarian friendly; vegan; gluten-free options,Premium (exact LKR not verified),4.7,2074,Lunch 12:00-15:30; Dinner 19:00-22:00/22:30 (source-dependent),+94 52 222 2881,Authentic Thai a la carte; vegan Thai menu,Thai cuisine; couples; upscale dining,Official website + Tripadvisor,https://www.thegrandhotelnuwaraeliya.com/dining/grand-thai/,2026-08-13,0.98
NEL-P003,Grand Hotel Tea Lounge (Grand Veranda),Nuwara Eliya,Grand Hotel Road,"The Grand Hotel, Grand Hotel Road, Nuwara Eliya 22200, Sri Lanka",Tea lounge / semi-outdoor dining,"High tea, Ceylon tea, pastries and light bites",Medium,Not sufficiently verified,Premium (exact LKR not verified),5.0,1,Not sufficiently verified,+94 52 222 2881,High tea; Ceylon tea; sandwiches; cakes and pastries,High tea; tea-country experience; relaxed afternoon dining,Official hotel website + current listing,https://www.thegrandhotelnuwaraeliya.com/dining/,2026-08-13,0.9
NEL-P004,Salmiya Italian Restaurant,Nuwara Eliya,Lake Gregory / Badulla Road,"122 Badulla Road (PBC Hwy), Nuwara Eliya 22200, Sri Lanka",Italian restaurant,"Italian, Pizza",Low,Not sufficiently verified,"Rs 2,000-3,000",4.6,1357,Daily 11:15-21:00,+94 77 913 5263,Pizza; Italian dishes,Pizza; Italian food; Lake Gregory visitors,Current business listing + Tripadvisor,https://www.tripadvisor.com/Restaurant_Review-g608524-d3410556-Reviews-Salmiya-Nuwara_Eliya_Central_Province.html,2026-08-13,0.96
NEL-P005,Milano Restaurant,Nuwara Eliya,New Bazaar Street,"24 New Bazaar Street, Nuwara Eliya 22200, Sri Lanka",Restaurant,"Sri Lankan, Asian; Indian/Chinese options reported",Medium,Vegetarian friendly; halal food reported,"Rs 1,000-2,000",3.7,1916,Daily 07:30-22:00,+94 52 222 2763,Sri Lankan meals; Indian and Chinese dishes; short eats,Town-centre meals; mixed groups; casual dining,Current business listing + Tripadvisor,https://www.tripadvisor.com/Restaurant_Review-g608524-d2235332-Reviews-Milano_Restaurant-Nuwara_Eliya_Central_Province.html,2026-08-13,0.95
NEL-P006,Themparadu,Nuwara Eliya,Upper Lake Road,"5 Upper Lake Road, Nuwara Eliya 22200, Sri Lanka",Restaurant / cafe,"Sri Lankan, Asian, International",High,Vegetarian choices; gluten-free version available on request for selected items,"Rs 2,000-3,000",4.7,3166,Approx. Mon-Thu 09:00-23:00; Fri-Sun 10:00-23:30 (current listing),+94 72 022 2263,Kottu; shawarma; burgers; seafood dishes,Local food; casual dining; groups; varied diets,Official website + current business listing,https://themparaducafe.com/,2026-08-13,0.97
NEL-P007,Hill Club Restaurant,Nuwara Eliya,Grand Hotel Road,"29 Grand Hotel Road, Nuwara Eliya, Sri Lanka",Fine dining restaurant / private club,"Sri Lankan, European, British, club specialties",Medium,Not sufficiently verified,Premium (exact LKR not verified),4.4,405,Breakfast 07:00-09:30; Lunch 12:00-14:30; Dinner 19:00-22:30,+94 52 222 2653,Sri Lankan specialties; European dishes; traditional club specialties,Heritage fine dining; special occasions; formal dining,Official website + current listing,https://thehillclubsrilanka.com/dining/,2026-08-13,0.98
NEL-P008,Royal Lake Restaurant,Nuwara Eliya,Lake Gregory / Badulla Road,"No. 1 Badulla Road, Nuwara Eliya 22200, Sri Lanka",Restaurant,"Chinese, Indian, Asian",Low,Not sufficiently verified,Medium (exact LKR not verified),,0,Daily 08:00-22:00,+94 77 292 6450,Chinese and Indian dishes; noodles; seafood,Lake Gregory visitors; Asian meals; casual dining,Tripadvisor / current listing,https://www.tripadvisor.com/Restaurant_Review-g608524-d14090023-Reviews-Royal_Lake_Restaurant-Nuwara_Eliya_Central_Province.html,2026-08-13,0.91
NEL-P009,Heritance Tea Factory - Kenmare Restaurant,Nuwara Eliya,Kandapola,"Heritance Tea Factory, Kandapola, Nuwara Eliya, Sri Lanka",Hotel main restaurant,"Sri Lankan, International, buffet and a la carte",High,Indian vegan dining available within hotel; restaurant-specific coverage not fully verified,Premium (exact LKR not verified),4.4,257,Breakfast 06:30-09:30; Lunch 12:30-14:30; Dinner 19:00-22:00,+94 52 555 5000,Local and international buffet; tea-country dining; tea-inspired cuisine,Tea-country cuisine; scenic dining; hotel guests; special occasions,Official hotel website + current listing,https://www.heritancehotels.com/teafactory/dining/kenmare-restaurant/,2026-08-13,0.97
NEL-P010,De Silva Food Centre,Nuwara Eliya,New Bazaar Street,"A2 Building, New Bazaar Street, Nuwara Eliya 22200, Sri Lanka",Casual restaurant / food centre,"Sri Lankan, Asian",High,Vegetarian friendly; vegan options,Budget / $ (exact LKR not verified),3.4,451,Daily 07:00-22:00,+94 52 222 3833,Short eats; rice; noodles; kottu; bakery items,Budget dining; quick meals; local food; families,Tripadvisor + current listing,https://www.tripadvisor.com/Restaurant_Review-g608524-d1135027-Reviews-De_Silva_Food_Centre-Nuwara_Eliya_Central_Province.html,2026-08-13,0.96
