place_id,place_name,city,area,address,place_type,cuisine_focus,local_food_strength,dietary_strength,price_band_lkr,rating,review_count,opening_hours,phone,signature_or_recommended_dishes,best_for,source_type,source_url,verified_date,confidence
BAN-P001,Dude's Hut,Bandarawela,Bindunuwewa / Badulla Road,"124 Badulla Road, Bindunuwewa, Bandarawela 90100",Restaurant,Sri Lankan + American/Southwestern,High,Vegetarian/vegan listing signal,Budget,4.9,23.0,Verify current hours,Not reliably listed,Rice and curry; mango juice,"budget,local-food,friendly",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g1051532-d12257785-Reviews-Dude_s_Hut-Bandarawela_Uva_Province.html,2026-08-11,0.98
BAN-P002,MistyVibe Restaurant & Café,Bandarawela,Bandarawela,"Bandarawela, Uva Province",Restaurant / cafe,Sri Lankan + Chinese/American,High,Mixed,Mid,4.8,21.0,Current listing; verify day-of,Not reliably listed,Sri Lankan rice and curry,"families,mixed-group",Tripadvisor current listings,https://www.tripadvisor.com/Restaurants-g1051532-zfp58-Bandarawela_Uva_Province.html,2026-08-11,0.96
BAN-P003,Gemi Gedara Restaurant,Bandarawela,Badulla Road,"Badulla Rd, Bandarawela 90100",Restaurant / cafe,Asian / Sri Lankan,Very High,Mixed,Budget,4.3,7.0,Verify current hours,Not reliably listed,Sri Lankan rice and curry,"authentic-local,budget",Tripadvisor current page,https://www.tripadvisor.com/Restaurant_Review-g1051532-d12966571-Reviews-Gemi_Gedara_Restaurant-Bandarawela_Uva_Province.html,2026-08-11,0.95
BAN-P004,Resto,Bandarawela,Bandarawela,"Bandarawela, Uva Province",Restaurant,Sri Lankan + Asian,High,Mixed,Budget-Mid,4.5,,Verify current hours,Not reliably listed,Rice and curry; nasi goreng; chicken fried rice; devilled fish,"local-food,mixed-group",Tripadvisor current page,https://www.tripadvisor.com/Restaurant_Review-g1051532-d13148339-Reviews-Resto-Bandarawela_Uva_Province.html,2026-08-11,0.95
BAN-P005,Mount Edge Restaurant And Cafe,Bandarawela,Bandarawela,"Bandarawela, Uva Province",Restaurant / cafe,Indian / Asian / Sri Lankan,Medium-High,Mixed,Premium signal,5.0,1.0,08:00-22:00 listed,Not reliably listed,Sri Lankan/Asian meals,"families,drive-in",Tripadvisor current page,https://www.tripadvisor.com/Restaurant_Review-g1051532-d23530347-Reviews-Mount_Edge_Restaurant_And_Cafe-Bandarawela_Uva_Province.html,2026-08-11,0.94
BAN-P006,The Deck Restaurant by Luxor,Bandarawela,Bandarawela,"Bandarawela, Uva Province",Restaurant,Sri Lankan + mixed,High,Mixed,Mid-Premium,4.8,,Current listing; verify day-of,Not reliably listed,Sri Lankan dishes; fresh prepared meals,"views,families",Tripadvisor + public social listing,https://www.tripadvisor.com/Restaurant_Review-g1051532-d33055267-Reviews-The_Deck_Restaurant_by_Luxor-Bandarawela_Uva_Province.html,2026-08-11,0.94
BAN-P007,MacHill,Bandarawela,Bandarawela,Bandarawela 90100,Restaurant,Italian / Fast Food / Asian / Sri Lankan,Medium,Mixed,Budget,,,Verify current hours,Not reliably listed,Sri Lankan quick meals; mixed menu,"budget,mixed-group",Tripadvisor current page,https://www.tripadvisor.com/Restaurant_Review-g1051532-d15696255-Reviews-MacHill-Bandarawela_Uva_Province.html,2026-08-11,0.9
BAN-P008,Kent Restaurant,Bandarawela,Bandarawela,"Bandarawela, Uva Province",Restaurant,Sri Lankan / mixed,Medium-High,Mixed,Budget,,,Verify current hours,Not listed,Local meals,"local-food,budget",Tripadvisor current page,https://www.tripadvisor.com/Restaurant_Review-g1051532-d8497423-Reviews-Kent_Restaurant-Bandarawela_Uva_Province.html,2026-08-11,0.88
BAN-P009,Bandarawela Rest House Restaurant,Bandarawela,Bandarawela,Bandarawela town,Rest-house restaurant,Sri Lankan / home-style,High,Mixed,Budget-Mid,,,Verify current service hours,Not listed,Homestyle meals; rice and curry,"home-style,delivery,local-food",Official/public Facebook page,https://www.facebook.com/resthouse.bandarawela/,2026-08-11,0.92
BAN-P010,Train View Chalet Restaurant,Bandarawela,Bandarawela,Bandarawela / rail-side area,Hotel restaurant,Sri Lankan,High,Mixed,Mid,,,Verify current hours,Not listed,Authentic Sri Lankan dishes,"scenic,local-food",Public Facebook restaurant post,https://www.facebook.com/TrainViewChalet/posts/-enjoy-delicious-authentic-sri-lankan-dishes-in-our-fresh-restaurant-with-a-sere/1454833466489678/,2026-08-11,0.9
